time,activity,city,end
2012-02-10T09:00:00,Fog,San Francisco,2012-02-10T10:00:00
2012-02-10T12:00:00,Overcast,San Francisco,2012-02-10T13:00:00
2012-02-10T15:00:00,Overcast,San Francisco,2012-02-10T16:00:00
2012-02-10T18:00:00,Light drizzle,San Francisco,2012-02-10T19:00:00
2012-02-10T21:00:00,Light rain shower,San Francisco,2012-02-10T22:00:00
2012-02-11T00:00:00,Fog,San Francisco,2012-02-11T01:00:00
2012-02-11T03:00:00,Fog,San Francisco,2012-02-11T04:00:00
2012-02-11T06:00:00,Overcast,San Francisco,2012-02-11T07:00:00
2012-02-11T09:00:00,Cloudy,San Francisco,2012-02-11T10:00:00
2012-02-11T12:00:00,Cloudy,San Francisco,2012-02-11T13:00:00
2012-02-11T15:00:00,Sunny,San Francisco,2012-02-11T16:00:00
2012-02-11T18:00:00,Clear,San Francisco,2012-02-11T19:00:00
2012-02-11T21:00:00,Clear,San Francisco,2012-02-11T22:00:00
2012-02-12T00:00:00,Clear,San Francisco,2012-02-12T01:00:00
2012-02-12T03:00:00,Clear,San Francisco,2012-02-12T04:00:00
2012-02-12T06:00:00,Clear,San Francisco,2012-02-12T07:00:00
2012-02-12T09:00:00,Partly cloudy,San Francisco,2012-02-12T10:00:00
2012-02-12T12:00:00,Cloudy,San Francisco,2012-02-12T13:00:00
2012-02-12T15:00:00,Partly cloudy,San Francisco,2012-02-12T16:00:00
2012-02-12T18:00:00,Overcast,San Francisco,2012-02-12T19:00:00
2012-02-12T21:00:00,Light drizzle,San Francisco,2012-02-12T22:00:00
2012-02-13T00:00:00,Light rain,San Francisco,2012-02-13T01:00:00
2012-02-13T03:00:00,Light rain,San Francisco,2012-02-13T04:00:00
2012-02-13T06:00:00,Partly cloudy,San Francisco,2012-02-13T07:00:00
2012-02-13T09:00:00,Sunny,San Francisco,2012-02-13T10:00:00
2012-02-13T12:00:00,Sunny,San Francisco,2012-02-13T13:00:00
2012-02-13T15:00:00,Sunny,San Francisco,2012-02-13T16:00:00
2012-02-13T18:00:00,Partly cloudy,San Francisco,2012-02-13T19:00:00
2012-02-13T21:00:00,Clear,San Francisco,2012-02-13T22:00:00
2012-02-14T00:00:00,Clear,San Francisco,2012-02-14T01:00:00
2012-02-14T03:00:00,Clear,San Francisco,2012-02-14T04:00:00
2012-02-14T06:00:00,Clear,San Francisco,2012-02-14T07:00:00
2012-02-14T09:00:00,Partly cloudy,San Francisco,2012-02-14T10:00:00
2012-02-14T12:00:00,Sunny,San Francisco,2012-02-14T13:00:00
2012-02-14T15:00:00,Sunny,San Francisco,2012-02-14T16:00:00
2012-02-14T18:00:00,Clear,San Francisco,2012-02-14T19:00:00
2012-02-14T21:00:00,Clear,San Francisco,2012-02-14T22:00:00
2012-02-15T00:00:00,Clear,San Francisco,2012-02-15T01:00:00
2012-02-15T03:00:00,Partly cloudy,San Francisco,2012-02-15T04:00:00
2012-02-15T06:00:00,Clear,San Francisco,2012-02-15T07:00:00
2012-02-15T09:00:00,Sunny,San Francisco,2012-02-15T10:00:00
2012-02-15T12:00:00,Sunny,San Francisco,2012-02-15T13:00:00
2012-02-15T15:00:00,Sunny,San Francisco,2012-02-15T16:00:00
2012-02-15T18:00:00,Clear,San Francisco,2012-02-15T19:00:00
2012-02-15T21:00:00,Clear,San Francisco,2012-02-15T22:00:00
2012-02-16T00:00:00,Clear,San Francisco,2012-02-16T01:00:00
2012-02-16T03:00:00,Clear,San Francisco,2012-02-16T04:00:00
2012-02-16T06:00:00,Clear,San Francisco,2012-02-16T07:00:00
2012-02-16T09:00:00,Sunny,San Francisco,2012-02-16T10:00:00
2012-02-16T12:00:00,Sunny,San Francisco,2012-02-16T13:00:00
2012-02-16T15:00:00,Sunny,San Francisco,2012-02-16T16:00:00
2012-02-16T18:00:00,Clear,San Francisco,2012-02-16T19:00:00
2012-02-16T21:00:00,Clear,San Francisco,2012-02-16T22:00:00
